geslacht,gebjaar,aantalhh,burgstat,nettoink,oplcat
1,2005,3,5,0,NA
2,1975,2,1,0,5
2,1956,1,5,-14,3
1,1954,1,3,7000,5
2,1950,4,1,-13,1
1,1950,3,4,2000,2
1,2006,3,5,0,NA
2,1974,6,1,0,4
2,1977,2,1,0,3
1,1956,2,1,250,2
1,1957,2,1,1950,1
2,1978,4,5,250,4
1,1969,5,1,1600,4
1,1979,2,1,1250,1
2,1952,4,1,0,2
1,1964,4,5,-13,6
1,1936,2,1,2000,5
2,1969,3,3,3250,1
1,1992,4,5,0,1
1,1994,3,5,-14,1
2,1994,6,5,0,1
2,1995,7,5,0,1
2,1955,2,1,750,2
2,2006,4,5,0,NA
2,1986,8,5,900,2
1,1961,4,1,1688,5
1,1966,1,5,1250,2
1,1978,1,5,1750,6
2,2005,8,5,0,NA
1,2003,5,5,0,1
1,1963,4,1,1726,4
1,1985,4,5,1250,2
2,1966,4,1,-14,4
1,1980,3,5,1700,2
2,1952,3,1,250,2
2,1977,1,5,1300,4
2,1949,1,1,1500,2
1,1993,4,5,25,1
2,1936,2,1,750,2
1,1956,5,1,2250,2
2,1983,2,1,0,4
2,1992,7,5,0,1
2,1984,1,5,1140,6
1,1988,4,5,0,3
2,1931,2,1,650,2
1,1963,2,1,1910,2
1,1973,3,1,2000,4
2,1948,2,1,-14,4
1,1984,1,5,0,5
1,1967,2,5,1875,5
2,1969,3,5,1500,5
2,1975,3,5,1800,5
1,1970,4,1,2250,4
1,1968,4,1,2400,5
2,1997,4,5,0,1
2,1940,2,1,800,5
1,1985,1,5,500,4
2,1988,4,5,0,3
2,1945,1,4,1250,2
2,1945,2,1,0,4
2,1954,2,1,1249,2
1,2000,3,5,0,1
1,1991,4,5,0,1
1,1969,4,1,2200,2
2,1922,1,4,1250,2
1,1978,4,1,2000,3
2,1958,4,1,1800,6
1,1987,5,5,250,3
1,1971,5,1,1450,2
1,1997,3,5,0,1
1,1991,4,5,0,2
2,1937,2,1,700,4
1,1971,4,1,1840,4
1,2001,4,5,0,1
1,1982,2,5,1250,5
2,2001,5,5,0,1
2,1946,1,4,750,1
2,1990,6,5,250,3
1,2006,4,5,0,NA
2,1960,4,1,-13,4
1,1964,4,1,-14,2
1,1957,2,5,2100,4
2,1994,6,5,0,1
1,1968,2,5,2900,6
2,1968,2,1,2200,3
1,1990,4,5,120,2
2,2007,2,5,0,NA
2,1972,5,1,0,5
2,1939,1,3,1640,5
2,1970,5,1,750,2
1,1966,4,1,2217,6
1,2003,5,5,0,1
2,1963,2,1,800,4
2,2006,4,5,0,1
2,1970,3,5,750,2
1,1989,3,5,200,1
1,1994,4,5,0,1
1,1967,4,1,4000,6
2,1947,3,1,2250,3
2,1943,2,1,400,6
2,1971,4,5,700,4
2,1992,4,5,0,1
1,1990,2,5,100,2
2,1962,4,1,0,1
1,1991,4,5,0,2
1,2005,4,5,0,NA
1,1977,2,5,2000,5
2,1965,4,1,1000,3
2,1989,7,5,125,4
2,1988,4,5,1453,3
2,1958,1,1,1666,2
1,1963,4,1,3750,6
2,1944,1,3,2400,5
2,1989,5,5,0,1
1,1992,4,5,0,1
2,1969,4,1,1250,2
1,1965,5,1,-14,4
1,1991,5,5,0,1
