dataset,age,bfi_O_imag,bfi_O_arti,bfi_C_lazy,bfi_C_thor,bfi_E_rese,bfi_E_soci,bfi_A_faul,bfi_A_trus,bfi_N_rela,bfi_N_nerv
shp,16,6,0,3,8,6,10,8,8,2,2
shp,53,5,3,3,10,2,5,10,7,5,7
shp,62,9,8,6,9,5,7,7,8,1,3
shp,43,7,5,6,8,4,7,5,7,2,4
shp,51,5,0,10,10,5,6,10,6,-0,6
shp,47,5,5,5,7,2,4,3,8,2,6
shp,47,7,3,6,8,5,7,5,9,1,2
shp,16,6,7,6,7,4,7,4,7,3,5
shp,14,8,5,7,7,9,10,10,8,3,0
shp,14,7,8,6,7,4,7,8,10,3,2
shp,49,6,6,7,7,7,7,6,6,4,3
shp,46,7,3,7,9,5,6,7,7,1,3
shp,15,6,8,6,7,5,7,7,4,2,4
shp,72,8,9,10,10,5,5,10,7,2,0
shp,55,5,5,8,8,2,7,8,5,8,7
shp,76,6,8,8,8,4,8,6,6,2,3
shp,84,5,5,10,10,5,10,5,8,-0,8
shp,42,5,10,10,8,10,9,7,8,2,7
shp,37,7,5,5,10,7,5,10,7,3,2
shp,18,5,2,9,8,7,9,7,7,2,8
shp,16,7,2,3,8,9,9,6,8,2,5
shp,55,10,5,5,10,5,10,5,10,-0,5
shp,74,10,10,10,10,10,10,10,5,5,5
shp,70,6,8,4,7,5,7,6,7,3,6
shp,46,7,7,5,8,1,7,5,8,2,8
shp,78,7,4,3,8,4,7,6,7,5,8
shp,39,10,2,8,10,10,10,10,3,2,0
shp,53,8,7,8,9,10,10,8,9,3,2
shp,52,5,10,9,9,2,5,6,4,5,2
shp,21,3,2,7,9,8,8,7,7,2,3
shp,19,4,8,3,6,5,7,6,7,3,4
shp,46,8,5,7,7,8,8,5,8,5,5
shp,45,5,2,10,8,2,5,10,8,2,2
shp,20,6,3,7,8,5,8,5,8,4,3
shp,14,10,10,10,10,10,10,8,10,-0,0
shp,64,7,0,8,10,10,10,8,10,-0,2
shp,48,5,7,10,10,-0,5,5,7,1,8
shp,55,9,5,7,8,4,8,6,8,2,3
shp,44,4,8,7,8,5,4,8,6,4,7
shp,48,5,4,10,8,8,7,8,6,4,4
shp,42,10,6,7,10,8,10,7,8,3,2
shp,21,8,3,6,9,10,8,5,9,1,4
shp,20,7,4,4,8,5,8,5,8,3,6
shp,16,9,9,5,8,5,9,5,8,3,5
shp,20,7,1,8,9,3,8,9,9,1,7
shp,38,6,5,8,8,9,7,8,8,5,3
shp,36,10,10,10,10,7,10,8,8,2,7
shp,60,8,4,5,8,2,7,5,7,2,3
shp,54,5,5,5,9,2,4,7,7,3,4
shp,28,6,6,6,7,3,5,7,4,4,6
shp,45,7,5,8,8,2,8,8,8,5,8
shp,73,6,6,5,8,7,7,7,8,4,6
shp,72,7,6,5,8,5,7,4,7,5,8
shp,54,8,8,9,9,10,9,5,8,2,2
shp,23,4,5,8,8,8,8,8,8,3,5
shp,21,7,5,8,8,7,8,7,8,2,4
shp,38,7,5,5,8,4,8,4,7,2,3
shp,34,9,10,9,8,10,5,5,0,4,7
shp,25,6,8,8,10,3,9,5,9,2,5
shp,64,10,4,7,9,2,7,4,8,2,2
shp,63,8,10,10,7,10,8,7,7,2,3
shp,67,5,3,5,5,7,5,9,8,5,3
shp,66,7,9,9,7,7,7,5,5,5,8
shp,40,10,0,10,10,10,10,10,0,10,10
shp,46,6,5,8,8,6,8,5,7,2,0
shp,17,6,6,7,7,6,7,7,7,3,6
shp,85,7,1,5,10,4,9,10,6,4,1
shp,43,8,9,10,9,10,8,8,9,3,5
shp,51,8,6,4,7,6,7,6,7,4,8
shp,46,3,7,5,8,5,5,6,7,5,5
shp,66,6,6,5,9,3,7,5,8,3,3
shp,61,6,5,3,10,6,8,3,5,4,5
shp,47,7,5,5,7,4,7,4,7,3,5
shp,42,5,5,8,8,7,5,5,7,5,5
shp,33,10,10,7,9,8,10,2,7,6,4
shp,76,9,5,9,9,10,9,7,8,1,1
shp,46,6,8,4,8,6,7,6,9,2,3
shp,44,10,2,9,9,7,9,8,7,3,3
shp,18,7,7,2,8,7,9,7,9,3,4
shp,16,9,7,9,9,9,10,8,10,2,1
shp,73,8,5,5,8,3,8,4,7,3,6
shp,67,8,3,8,10,2,10,10,8,-0,8
shp,68,3,3,8,9,6,7,6,5,2,7
shp,67,8,6,2,8,3,8,8,5,2,2
shp,36,7,5,4,7,7,9,5,7,3,3
shp,55,7,8,4,9,2,5,8,8,1,4
shp,37,9,5,9,9,3,9,5,9,2,7
shp,62,6,3,9,9,2,8,8,9,3,4
shp,59,7,8,7,7,4,7,7,5,2,2
shp,57,8,7,10,9,9,10,5,8,3,1
shp,50,6,8,8,10,4,7,5,7,2,3
shp,48,8,5,8,8,3,8,9,8,-0,3
shp,22,7,6,9,7,7,8,8,6,4,6
shp,20,7,7,8,9,5,8,6,8,3,7
shp,20,7,8,8,8,8,9,7,8,2,5
shp,37,6,8,8,9,6,6,7,4,3,7
shp,50,8,6,9,8,10,9,5,5,2,3
shp,51,8,8,7,7,4,8,6,6,2,5
shp,47,6,4,5,5,6,5,5,5,5,7
shp,19,6,5,3,7,9,7,3,5,5,6
shp,51,8,7,8,9,8,10,3,9,-0,2
shp,44,6,8,6,9,5,7,6,6,3,3
shp,41,4,2,7,7,5,7,7,6,5,4
shp,45,7,7,8,8,8,8,6,8,2,2
